distance,consume,speed,temp_inside,temp_outside,gas_type,ac,l/km,temp_ratio,temp_delta
28.0,5.0,26,21.5,12,E10,0,0.18,1.79,9.5
12.0,4.2,30,21.5,13,E10,0,0.35,1.65,8.5
11.2,5.5,38,21.5,15,E10,0,0.49,1.43,6.5
12.9,3.9,36,21.5,14,E10,0,0.3,1.54,7.5
18.5,4.5,46,21.5,15,E10,0,0.24,1.43,6.5
8.3,6.4,50,21.5,10,E10,0,0.77,2.15,11.5
7.8,4.4,43,21.5,11,E10,0,0.56,1.95,10.5
12.3,5.0,40,21.5,6,E10,0,0.41,3.58,15.5
4.9,6.4,26,21.5,4,E10,0,1.31,5.38,17.5
11.9,5.3,30,21.5,9,E10,0,0.45,2.39,12.5
12.4,5.6,42,21.5,4,E10,0,0.45,5.38,17.5
11.8,4.6,38,21.5,0,E10,0,0.39,inf,21.5
12.3,5.9,59,21.5,10,E10,0,0.48,2.15,11.5
24.7,5.1,58,21.5,12,E10,0,0.21,1.79,9.5
12.4,4.7,46,21.5,11,E10,0,0.38,1.95,10.5
17.3,5.1,24,21.5,5,E10,0,0.29,4.3,16.5
33.4,5.6,36,21.5,3,E10,0,0.17,7.17,18.5
11.8,5.1,32,21.5,3,E10,0,0.43,7.17,18.5
25.9,4.9,39,21.5,8,E10,0,0.19,2.69,13.5
11.8,4.7,40,21.5,4,E10,0,0.4,5.38,17.5
25.3,5.5,32,21.5,3,E10,0,0.22,7.17,18.5
14.2,5.9,38,21.5,1,E10,0,0.42,21.5,20.5
17.9,5.7,37,21.5,1,E10,0,0.32,21.5,20.5
11.8,4.7,36,21.5,1,E10,0,0.4,21.5,20.5
12.3,5.9,62,21.5,6,E10,0,0.48,3.58,15.5
12.4,4.1,57,21.5,9,E10,0,0.33,2.39,12.5
18.4,5.7,21,22.5,2,E10,0,0.31,11.25,20.5
18.4,5.8,28,21.5,3,E10,0,0.32,7.17,18.5
18.3,5.5,29,21.5,1,E10,0,0.3,21.5,20.5
18.4,5.7,35,21.5,4,E10,0,0.31,5.38,17.5
12.3,5.3,51,21.5,11,E10,0,0.43,1.95,10.5
11.8,5.0,29,21.5,10,E10,0,0.42,2.15,11.5
12.3,5.6,58,21.5,8,E10,0,0.46,2.69,13.5
32.6,4.8,40,21.5,7,E10,0,0.15,3.07,14.5
19.0,4.3,36,21.5,7,E10,0,0.23,3.07,14.5
12.1,5.7,36,21.5,8,E10,0,0.47,2.69,13.5
20.0,5.2,37,21.5,4,E10,0,0.26,5.38,17.5
4.9,7.4,26,21.5,6,E10,0,1.51,3.58,15.5
11.8,4.8,23,21.5,9,E10,0,0.41,2.39,12.5
12.3,6.5,58,21.5,7,E10,0,0.53,3.07,14.5
12.4,4.0,55,21.5,7,E10,1,0.32,3.07,14.5
4.5,5.0,29,21.5,7,E10,1,1.11,3.07,14.5
11.7,4.6,37,21.5,6,E10,0,0.39,3.58,15.5
10.2,4.3,44,21.5,7,E10,0,0.42,3.07,14.5
5.4,3.3,32,21.5,7,SP98,0,0.61,3.07,14.5
2.0,9.9,21,21.5,4,SP98,0,4.95,5.38,17.5
14.2,5.1,32,21.5,7,SP98,0,0.36,3.07,14.5
16.0,4.9,25,21.5,8,SP98,0,0.31,2.69,13.5
11.8,4.9,25,21.5,11,SP98,0,0.42,1.95,10.5
27.3,4.7,36,21.5,10,SP98,0,0.17,2.15,11.5
11.8,5.1,29,21.5,5,SP98,0,0.43,4.3,16.5
10.6,4.9,63,21.5,6,SP98,0,0.46,3.58,15.5
11.6,4.2,61,21.5,7,SP98,0,0.36,3.07,14.5
13.1,6.1,46,21.5,6,SP98,0,0.47,3.58,15.5
6.1,6.4,28,21.5,8,SP98,0,1.05,2.69,13.5
153.5,4.9,82,21.5,3,SP98,0,0.03,7.17,18.5
11.8,4.9,24,21.5,7,SP98,0,0.42,3.07,14.5
12.3,6.2,61,21.5,8,SP98,0,0.5,2.69,13.5
12.4,4.2,57,21.5,8,SP98,0,0.34,2.69,13.5
12.3,5.7,52,21.5,8,SP98,0,0.46,2.69,13.5
2.9,7.9,18,21.5,9,SP98,1,2.72,2.39,12.5
2.1,12.2,23,21.5,9,SP98,1,5.81,2.39,12.5
9.8,5.8,24,21.5,6,SP98,0,0.59,3.58,15.5
6.8,5.3,26,21.5,6,SP98,0,0.78,3.58,15.5
12.4,5.4,24,21.5,7,SP98,0,0.44,3.07,14.5
12.4,4.7,57,21.5,8,SP98,0,0.38,2.69,13.5
11.8,4.6,41,21.5,6,SP98,0,0.39,3.58,15.5
12.3,5.4,55,21.5,8,SP98,0,0.44,2.69,13.5
14.0,4.3,40,21.5,8,SP98,0,0.31,2.69,13.5
11.8,4.5,37,21.5,4,SP98,1,0.38,5.38,17.5
12.3,5.2,55,21.5,12,SP98,0,0.42,1.79,9.5
2.0,6.2,20,21.5,10,SP98,0,3.1,2.15,11.5
13.9,5.1,29,21.5,6,SP98,0,0.37,3.58,15.5
9.7,3.9,42,21.5,8,SP98,0,0.4,2.69,13.5
11.6,5.0,25,21.5,6,SP98,0,0.43,3.58,15.5
14.2,5.4,38,21.5,7,SP98,0,0.38,3.07,14.5
11.8,4.5,39,21.5,6,SP98,0,0.38,3.58,15.5
24.8,5.1,50,21.5,9,SP98,0,0.21,2.39,12.5
12.4,4.7,56,21.5,7,SP98,0,0.38,3.07,14.5
34.8,4.0,28,20.0,4,SP98,0,0.11,5.0,16.0
14.2,5.4,36,20.0,6,SP98,0,0.38,3.33,14.0
5.2,4.5,39,20.0,10,SP98,0,0.87,2.0,10.0
10.5,3.6,42,20.0,10,SP98,0,0.34,2.0,10.0
12.3,5.2,57,20.0,10,SP98,0,0.42,2.0,10.0
11.8,4.9,25,20.0,11,SP98,0,0.42,1.82,9.0
12.3,6.2,58,20.0,11,SP98,0,0.5,1.82,9.0
13.2,4.3,51,20.0,11,SP98,0,0.33,1.82,9.0
13.0,5.0,45,20.0,11,SP98,0,0.38,1.82,9.0
12.9,5.1,32,20.0,11,SP98,0,0.4,1.82,9.0
13.9,5.6,22,20.0,8,SP98,0,0.4,2.5,12.0
11.8,4.3,37,20.0,6,SP98,0,0.36,3.33,14.0
12.2,5.8,60,20.0,11,SP98,0,0.48,1.82,9.0
12.5,4.0,51,20.0,13,SP98,0,0.32,1.54,7.0
12.4,4.7,43,21.929521276595743,10,SP98,0,0.38,2.19,11.93
11.8,5.9,21,20.0,9,SP98,1,0.5,2.22,11.0
11.8,5.3,52,21.929521276595743,11,SP98,0,0.45,1.99,10.93
12.5,4.2,57,20.0,11,SP98,0,0.34,1.82,9.0
15.7,5.3,33,21.929521276595743,9,SP98,0,0.34,2.44,12.93
12.9,5.7,35,21.929521276595743,9,SP98,0,0.44,2.44,12.93
6.4,4.4,37,21.929521276595743,10,SP98,0,0.69,2.19,11.93
5.3,4.1,34,21.929521276595743,9,SP98,0,0.77,2.44,12.93
26.2,5.8,71,21.0,8,SP98,1,0.22,2.62,13.0
18.8,5.0,62,21.929521276595743,9,SP98,0,0.27,2.44,12.93
4.9,6.9,25,21.0,12,SP98,0,1.41,1.75,9.0
12.4,5.4,18,21.0,11,SP98,1,0.44,1.91,10.0
22.9,5.3,45,20.5,7,SP98,0,0.23,2.93,13.5
162.7,5.5,75,23.0,1,SP98,0,0.03,23.0,22.0
4.9,6.5,26,21.0,1,SP98,0,1.33,21.0,20.0
11.8,4.7,36,21.0,4,SP98,0,0.4,5.25,17.0
16.6,5.1,56,21.0,7,SP98,0,0.31,3.0,14.0
12.4,5.7,37,21.0,7,SP98,0,0.46,3.0,14.0
15.9,5.4,25,21.0,7,SP98,0,0.34,3.0,14.0
5.1,8.7,21,23.5,5,SP98,0,1.71,4.7,18.5
22.4,4.9,66,20.5,7,SP98,0,0.22,2.93,13.5
31.1,4.7,42,20.5,7,SP98,0,0.15,2.93,13.5
4.9,6.3,27,20.5,3,SP98,0,1.29,6.83,17.5
11.8,5.1,26,23.0,4,SP98,0,0.43,5.75,19.0
22.9,6.0,42,23.0,4,SP98,0,0.26,5.75,19.0
12.4,4.6,38,23.0,1,SP98,0,0.37,23.0,22.0
12.9,5.8,40,23.0,4,SP98,0,0.45,5.75,19.0
11.8,5.1,43,23.0,0,SP98,0,0.43,inf,23.0
12.2,5.8,58,23.0,2,SP98,0,0.48,11.5,21.0
24.8,4.6,55,23.0,3,SP98,0,0.19,7.67,20.0
14.2,5.6,24,23.0,8,SP98,0,0.39,2.88,15.0
11.8,4.6,38,23.0,0,SP98,0,0.39,inf,23.0
12.2,6.3,57,23.0,0,SP98,0,0.52,inf,23.0
24.7,5.5,56,25.0,1,SP98,0,0.22,25.0,24.0
6.8,4.3,46,24.0,2,SP98,0,0.63,12.0,22.0
17.3,5.6,37,21.5,1,SP98,0,0.32,21.5,20.5
11.8,4.3,44,21.5,-3,SP98,0,0.36,-7.17,24.5
15.9,5.7,46,21.5,5,SP98,0,0.36,4.3,16.5
5.1,6.4,39,21.5,4,SP98,0,1.25,5.38,17.5
16.1,4.5,33,21.5,6,SP98,0,0.28,3.58,15.5
11.8,4.5,43,21.5,3,SP98,0,0.38,7.17,18.5
4.2,6.0,26,21.5,5,SP98,0,1.43,4.3,16.5
17.4,5.1,30,21.5,5,SP98,0,0.29,4.3,16.5
23.5,6.0,25,21.5,5,SP98,0,0.26,4.3,16.5
11.8,4.5,38,21.5,5,SP98,0,0.38,4.3,16.5
12.3,6.1,61,21.5,10,SP98,0,0.5,2.15,11.5
16.1,5.4,24,21.5,7,E10,0,0.34,3.07,14.5
11.8,4.3,40,21.5,10,E10,0,0.36,2.15,11.5
12.3,5.4,58,21.5,13,E10,0,0.44,1.65,8.5
12.4,4.3,49,21.5,17,E10,0,0.35,1.26,4.5
7.0,5.2,25,21.5,17,E10,0,0.74,1.26,4.5
11.8,4.1,37,21.5,10,E10,0,0.35,2.15,11.5
20.1,4.4,41,21.5,18,E10,0,0.22,1.19,3.5
20.8,4.5,45,21.5,10,E10,0,0.22,2.15,11.5
1.7,10.8,14,21.5,10,E10,0,6.35,2.15,11.5
35.9,4.7,45,21.5,12,E10,0,0.13,1.79,9.5
36.9,4.8,52,21.5,5,E10,0,0.13,4.3,16.5
16.8,4.0,46,21.5,8,E10,0,0.24,2.69,13.5
9.9,5.0,28,21.5,9,E10,0,0.51,2.39,12.5
